field,tile,band,pointing,exptime,MJD,magzpt_1,magzpt_2,magzpt_3,magzpt_4,seeing_1,seeing_2,seeing_3,seeing_4,deprec_mf,deprec_1,deprec_2,deprec_3,deprec_4,filename,project,obj_band,tag
LH,1,K,0_1,5.00000,53503.28802,24.04890,24.07180,24.03060,24.04130,1.20527,0.94206,0.98845,1.25039,0,0,0,0,0,w20050513_00289_sf_st,U/UKIDSS/DXS1,K,LH01K
LH,1,K,1_1,5.00000,53503.30080,24.00730,24.06330,24.05680,23.99040,1.14152,0.89315,0.94738,1.19963,0,0,0,0,0,w20050513_00389_sf_st,U/UKIDSS/DXS1,K,LH01K
EN,1,J,0_0,5.00000,53504.36603,24.44720,24.44520,24.45640,24.44680,0.97315,0.88429,0.96775,1.04946,0,0,0,0,0,w20050514_00477_sf_st,U/UKIDSS/DXS1,J,EN01J
EN,1,J,1_0,5.00000,53504.37696,24.45960,24.44720,24.47560,24.46080,0.90808,0.78748,0.90027,0.98417,0,0,0,0,0,w20050514_00577_sf_st,U/UKIDSS/DXS1,J,EN01J
EN,1,J,0_1,5.00000,53504.38803,24.44190,24.44180,24.44710,24.44910,0.94934,0.82612,0.89650,0.99125,0,0,0,0,0,w20050514_00677_sf_st,U/UKIDSS/DXS1,J,EN01J
EN,1,J,1_1,5.00000,53504.40012,24.40160,24.41700,24.41690,24.40310,0.97502,0.84484,0.94446,1.01652,0,0,0,0,0,w20050514_00777_sf_st,U/UKIDSS/DXS1,J,EN01J
EN,1,J,0_0,5.00000,53504.41140,24.44640,24.45650,24.47010,24.45510,0.99318,0.84551,0.92616,1.03820,0,0,0,0,0,w20050514_00877_sf_st,U/UKIDSS/DXS1,J,EN01J
EN,1,J,1_0,5.00000,53504.42240,24.48240,24.47050,24.50060,24.48380,0.99589,0.84583,0.94433,1.05510,0,0,0,0,0,w20050514_00977_sf_st,U/UKIDSS/DXS1,J,EN01J
EN,1,J,0_1,5.00000,53504.43332,24.47820,24.46930,24.48360,24.48210,0.98522,0.83833,0.95186,1.06554,0,0,0,0,0,w20050514_01077_sf_st,U/UKIDSS/DXS1,J,EN01J
EN,1,J,1_1,5.00000,53504.44613,24.46110,24.47040,24.47890,24.46830,0.99292,0.85179,1.01396,1.08579,0,0,0,0,0,w20050514_01177_sf_st,U/UKIDSS/DXS1,J,EN01J
EN,1,J,0_0,5.00000,53504.46457,24.46810,24.46990,24.49000,24.47260,0.89862,0.72971,0.88622,0.99608,0,0,0,0,0,w20050514_01300_sf_st,U/UKIDSS/DXS1,J,EN01J
EN,1,J,1_0,5.00000,53504.47538,24.47840,24.48310,24.50570,24.48790,0.86023,0.70314,0.91898,1.03568,0,0,0,0,0,w20050514_01400_sf_st,U/UKIDSS/DXS1,J,EN01J
EN,1,J,0_1,5.00000,53504.48617,24.48640,24.47520,24.48980,24.48690,0.87577,0.71454,0.87848,1.00739,0,0,0,0,0,w20050514_01500_sf_st,U/UKIDSS/DXS1,J,EN01J
EN,1,J,1_1,5.00000,53504.49779,24.42830,24.45490,24.44260,24.44410,0.95909,0.76427,0.89695,1.03844,0,0,0,0,0,w20050514_01600_sf_st,U/UKIDSS/DXS1,J,EN01J
EN,1,K,0_0,5.00000,53504.51654,24.05300,24.05200,24.04700,24.04200,1.00813,0.85082,0.97941,1.10922,12,101,101,101,101,w20050514_01723_sf_st,U/UKIDSS/DXS1,K,EN01K
EN,1,K,1_0,5.00000,53504.52737,24.06300,24.06200,24.05700,24.05200,1.01423,0.87894,1.02980,1.17549,12,101,101,101,101,w20050514_01823_sf_st,U/UKIDSS/DXS1,K,EN01K
EN,1,K,0_1,5.00000,53504.53978,24.04300,24.04200,24.03700,24.03200,-1.00000,-1.00000,-1.00000,-1.00000,12,101,101,101,101,w20050514_01923_sf_st,U/UKIDSS/DXS1,K,EN01K
EN,1,K,1_1,5.00000,53504.55147,24.02300,24.02200,24.01700,24.01200,1.10787,0.94125,1.06688,1.19292,12,101,101,101,101,w20050514_02023_sf_st,U/UKIDSS/DXS1,K,EN01K
EN,2,K,0_0,5.00000,53505.34417,23.98300,23.98200,23.97700,23.97200,1.26158,1.21659,1.21718,1.28507,10,101,101,101,101,w20050515_00642_sf_st,U/UKIDSS/DXS1,K,EN02K
EN,2,K,1_0,5.00000,53505.35524,23.92660,23.95180,23.94470,23.89790,1.21693,1.14792,1.18499,1.24592,0,0,0,0,0,w20050515_00742_sf_st,U/UKIDSS/DXS1,K,EN02K
EN,2,K,0_1,5.00000,53505.36663,23.84550,23.87300,23.85860,23.84920,1.16568,1.08040,1.13458,1.23033,0,0,0,0,0,w20050515_00842_sf_st,U/UKIDSS/DXS1,K,EN02K
EN,2,K,1_1,5.00000,53505.37796,23.86300,23.86200,23.85700,23.85200,1.30317,1.22869,1.25100,1.36379,10,101,101,101,101,w20050515_00942_sf_st,U/UKIDSS/DXS1,K,EN02K
EN,1,K,0_0,5.00000,53505.38914,23.87750,23.86160,23.82030,23.85430,1.22254,1.11184,1.16357,1.28075,0,0,0,0,0,w20050515_01042_sf_st,U/UKIDSS/DXS1,K,EN01K
EN,1,K,1_0,5.00000,53505.40010,23.97400,23.96800,23.94400,23.96460,1.18012,1.08183,1.10694,1.23614,0,0,0,0,0,w20050515_01142_sf_st,U/UKIDSS/DXS1,K,EN01K
EN,1,K,0_1,5.00000,53505.41095,23.98080,23.96130,23.94340,23.96440,1.17424,1.05515,1.08183,1.21313,0,0,0,0,0,w20050515_01242_sf_st,U/UKIDSS/DXS1,K,EN01K
